source_link;name;doc_type;dictionary_type;txt
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;greenback
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;grey knight
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;gross domestic product
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;gross national product 
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;ground rent
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;group of eight
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;group of seven
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;guaranteed annuity rate
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;guarantor
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;half year
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;hang seng
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;hedge funds
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;home reversion plan
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;horizontal merger
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;hostile takeover
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;house price surveys
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;hyperinflation
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;income protection insurance
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;income statement
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;income tax
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;independent financial adviser 
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;individual savings account 
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;industrial output
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;inflation
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;inflation measures
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;inheritance tax
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;insider trading
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;institutional investor
